form	lemma	POS	morph
༄༅། །		PUNCT
འཁྲུལ་	འཁྲུལ་	NO_POS
ཞིག་	ཅིག་	PART
ཁྲིད་	ཁྲིད་	VERB
དཔོན་	དཔོན་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ངག་དབང་	ངག་དབང་	PROPN
པདྨ་	པདྨ་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
མཛད་	མཛད་	VERB
རྣམ་	རྣམ་	NOUN
དང་	དང་	NO_POS
ཞལ་	ཞལ་	NOUN
གསུང་	གསུང་	VERB
ཕྱོགས་སྒྲིག་	ཕྱོགས་སྒྲིག་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ས་	གིས་	PART
རྩོམ་སྒྲིག་	རྩོམ་སྒྲིག་	OTHER
ཞུ་	ཞུ་	VERB
"།
༈"		PUNCT
འཁྲུལ་	འཁྲུལ་	NO_POS
ཞིག་	ཅིག་	PART
ཁྲིད་	ཁྲིད་	VERB
དཔོན་	དཔོན་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ངག་དབང་	ངག་དབང་	PROPN
པདྨ་	པདྨ་	NOUN
ཆོས་རྒྱལ་	ཆོས་རྒྱལ་	NOUN
གྱི་	གི་	PART
མཛད་	མཛད་	VERB
རྣམ་	རྣམ་	NOUN
དང་	དང་	NO_POS
ཞལ་	ཞལ་	NOUN
གསུང་	གསུང་	VERB
ཕྱོགས་སྒྲིག་	ཕྱོགས་སྒྲིག་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
སྔོན་ཆད་	སྔོན་ཆད་	ADV
རྒྱ་	རྒྱ་	NOUN
ཅན་	ཅན་	PART
ཨུ་པ་	ཨུ་པ་	NO_POS
དེ་	སྟེ་	PART
ཤ་	ཤ་	NOUN
ཡང་	ཀྱང་	PART
། །		PUNCT
དབྱིངས་	དབྱིངས་	NOUN
སུ་	ལ་	PART
བཞུད་	བཞུད་	NO_POS
དོགས་	དོགས་	NO_POS
འགའ་རེ་པ་	འགའ་རེ་པ་	PRON
ར་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
ལ་	ལ་	PART
། །		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ཆོས་སྲུང་	ཆོས་སྲུང་	OTHER
ཀོ་ལོང་	ཀོ་ལོང་	NOUN
མི་	མི་	PART
མཛད་པ་	མཛད་པ་	VERB
ར་	ལ་	PART
། །		PUNCT
ཆོས་བཞིན་	ཆོས་བཞིན་	NO_POS
བསྒྲུབ་	བསྒྲུབ་	VERB
ལ་སྟོང་	ལ་སྟོང་	NO_POS
གྲོག་	གྲོག་	NOUN
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
མཛོད་	མཛོད་	NOUN
། །		PUNCT
ལྟོ་	ལྟོ་	VERB
ཤིག་	ཅིག་	PART
ལྟོ་	ལྟོ་	VERB
ཤིག་	ཅིག་	PART
རང་	རང་	PRON
གི་	གི་	PART
སེམས་	སེམས་	NOUN
ལ་	ལ་	PART
ལྟོ་	ལྟོ་	VERB
། །		PUNCT
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
རྩ་	རྩ་	NUM
བྲལ་	བྲལ་	VERB
ངོ་བོ་	ངོ་བོ་	NOUN
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
ན་	ལ་	PART
། །		PUNCT
ཁ་བཤད་	ཁ་བཤད་	NOUN
ཚིག་	ཚིག་	NOUN
གི་	གི་	PART
སྦུན་པ་	སྦུན་པ་	NOUN
ས་	གིས་	PART
སངས་	སངས་	VERB
མི་	མི་	PART
རྒྱ་	རྒྱ་	NOUN
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
གཏན་	གཏན་	NOUN
ལ་	ལ་	PART
ཕབ་པ་	ཕབ་པ་	VERB
གཅེ་	གཅེ་	VERB
"། །
༈"		PUNCT
ཁྲིད་	ཁྲིད་	VERB
དཔོན་	དཔོན་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
པདྨ་	པདྨ་	NOUN
ཆོས་རྒྱལ་	ཆོས་རྒྱལ་	NOUN
ལ་	ལ་	PART
ན་མོ་	ན་མོ་	X
།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
མགོན་པོ་	མགོན་པོ་	NOUN
ལ་	ལ་	PART
གསོལ་	གསོལ་	VERB
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
		
ལམ་	གམ་	PART
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
ལ་	ལ་	PART
		
སྣང་སྲིད་	སྣང་སྲིད་	NOUN
སྐུ་	སྐུ་	NOUN
		
ཐ་	ཐ་	VERB
འདོད་	འདོད་	VERB
ལ་	ལ་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སྟེར་བ་	སྟེར་བ་	VERB
འི་	གི་	PART
ས་	ས་	ADP
། །		PUNCT
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
མངོན་གྱུར་	མངོན་གྱུར་	ADJ
གྱི་	གི་	PART
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
དུ་	ལ་	PART
། །		PUNCT
ཡོངས་འཛིན་	ཡོངས་འཛིན་	OTHER
ངག་དབང་	ངག་དབང་	PROPN
བཟང་པོ་	བཟང་པོ་	ADJ
ལ་	ལ་	PART
གསོལ་	གསོལ་	VERB
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
		
ལམ་	གམ་	PART
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
ལ་	ལ་	PART
		
སྣང་སྲིད་	སྣང་སྲིད་	NOUN
སྐུ་	སྐུ་	NOUN
		
མཐོང་ཐོས་	མཐོང་ཐོས་	OTHER
ཀྱི་	གི་	PART
གཞན་རྒྱུད་	གཞན་རྒྱུད་	NO_POS
གྲོལ་བ་	གྲོལ་བ་	VERB
འི་	གི་	PART
ས་	ས་	ADP
། །		PUNCT
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
ཀྱི་	གི་	PART
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
མཐོན་པོ་	མཐོན་པོ་	ADJ
འི་	གི་	PART
རྩེ་		
། །		PUNCT
རྒྱལ་དབང་	རྒྱལ་དབང་	NOUN
དཔག་བསམ་	དཔག་བསམ་	OTHER
དབང་པོ་	དབང་པོ་	NOUN
ལ་	ལ་	PART
གསོལ་	གསོལ་	VERB
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
		
ལམ་	གམ་	PART
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
ལ་	ལ་	PART
		
སྣང་སྲིད་	སྣང་སྲིད་	NOUN
སྐུ་	སྐུ་	NOUN
		
ཉམས་རྟོགས་	ཉམས་རྟོགས་	NOUN
ཀྱི་	གི་	PART
དབྱར་	དབྱར་	ADV
མཚོ་	མཚོ་	NOUN
སྤེལ་བ་	སྤེལ་བ་	VERB
འི་	གི་	PART
ས་	ས་	ADP
། །		PUNCT
གནས་	གནས་	NOUN
ངེས་མེད་	ངེས་མེད་	ADJ
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
བསྟི་གནས་	བསྟི་གནས་	OTHER
སུ་	ལ་	PART
། །		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
མི་	མི་	PART
ཕམ་	ཕམ་	NO_POS
བློ་གྲོས་	བློ་གྲོས་	NOUN
ལ་	ལ་	PART
གསོལ་	གསོལ་	VERB
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
		
ལམ་	གམ་	PART
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
ལ་	ལ་	PART
		
སྣང་སྲིད་	སྣང་སྲིད་	NOUN
སྐུ་	སྐུ་	NOUN
		
བླ་མེད་	བླ་མེད་	ADJ
ཀྱི་	གི་	PART
ངེས་	ངེས་	VERB
གསང་	གསང་	VERB
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
ས་	ས་	ADP
། །		PUNCT
སྐུ་བཞི་	སྐུ་བཞི་	OTHER
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
གྱི་	གི་	PART
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
དུ་	ལ་	PART
། །		PUNCT
ཡོངས་འཛིན་	ཡོངས་འཛིན་	OTHER
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
ལ་	ལ་	PART
གསོལ་	གསོལ་	VERB
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
		
ལམ་	གམ་	PART
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
ལ་	ལ་	PART
		
སྣང་སྲིད་	སྣང་སྲིད་	NOUN
སྐུ་	སྐུ་	NOUN
		
མཚན་	མཚན་	NOUN
འཛིན་	འཛིན་	VERB
གྱི་	གི་	PART
སྤྲོས་པ་	སྤྲོས་པ་	VERB
འཇིག་པ་	འཇིག་པ་	VERB
འི་	གི་	PART
ས་	ས་	ADP
། །		PUNCT
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
དུ་	ལ་	PART
། །		PUNCT
མི་	མི་	PART
ཕམ་	ཕམ་	NO_POS
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ལ་	ལ་	PART
གསོལ་	གསོལ་	VERB
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
		
ལམ་	གམ་	PART
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
ལ་	ལ་	PART
		
སྣང་སྲིད་	སྣང་སྲིད་	NOUN
སྐུ་	སྐུ་	NOUN
		
དགེ་ལེགས་	དགེ་ལེགས་	OTHER
ཀྱི་	གི་	PART
འདོད་དགུ་	འདོད་དགུ་	OTHER
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
